year,bill_item_id,summary,dr_label,pdf_filename,pdf_url,pdf_url_embedded,pdf_resolve_status,first_reading,second_reading,presented_by,passed_at,source_tree_node_id,seed_url,ajax_url
2011,0_0,D.R.01/2011 - Veterans Bill 2011 (Passed),D.R.01/2011,DR012011E.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2011/DR012011E.pdf,,,,," | Y.B. Dato Seri Dr. Ahmad Zahid Hamidi, Menteri Pertahanan",04/10/2011,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2011,0_1,D.R.02/2011 - Promotion of Investments (Amendment) Bill 2011 (Passed),D.R.02/2011,DR022011E.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2011/DR022011E.pdf,,,,," | Y.B. Dato Mukhriz Tun Dr. Mahathir, Timbalan Menteri Perdagangan Antarabangsa dan Industri",15/06/2011,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2011,0_2,D.R.03/2011 - National Sports Institute Bill 2011 (Passed),D.R.03/2011,DR032011E.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2011/DR032011E.pdf,,,,," | Y.B. Dato Razali Ibrahim, Timbalan Menteri Belia dan Sukan",16/06/2011,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2011,0_3,D.R.04/2011 - Kootu Funds (Prohibition) (Amendment) Bill 2011 (Passed),D.R.04/2011,DR042011E.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2011/DR042011E.pdf,,,,," | Y.B. Dato Sri Ismail Sabri bin Yaakob, Menteri Perdagangan Dalam Negeri, Koperasi, dan Kepenggunaan",14/06/2011,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2011,0_4,D.R.05/2011 - Judges Remuneration (Amendment) Bill 2011 (Passed),D.R.05/2011,DR052011E.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2011/DR052011E.pdf,,,,," | Y.B. Dato Seri Mohamed Nazri Abdul Aziz, Menteri di Jabatan Perdana Menteri",27/06/2011,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2011,0_5,D.R.06/2011 - Supplementary Supply (2010) Bill 2011 (Passed),D.R.06/2011,DR062011E.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2011/DR062011E.pdf,,,,," | Y.B. Senator Datuk Dr. Awang Adek Hussein, Timbalan Menteri Kewangan",28/03/2011,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2011,0_6,D.R.07/2011 - Malaysian Industrial Development Authority (Incorporation) (Amendment) Bill 2011 (Passed),D.R.07/2011,DR072011E.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2011/DR072011E.pdf,,,,," | Y.B. Dato Mukhriz Tun Dr. Mahathir, Timbalan Menteri Perdagangan Antarabangsa dan Industri",15/06/2011,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2011,0_7,D.R.08/2011 - International Organizations (Privileges and Immunities) (Amendment) Bill 2011 (Passed),D.R.08/2011,DR082011E.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2011/DR082011E.pdf,,,,," | Y.B. Datuk Richard Riot Anak Jaem, Timbalan Menteri Luar Negeri",29/06/2011,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2011,0_8,D.R.09/2011 - Medical Device Bill 2011 (Passed),D.R.09/2011,DR092011E.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2011/DR092011E.pdf,,,,," | Y.B. Dato Sri Liow Tiong Lai, Menteri Kesihatan",03/10/2011,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2011,0_9,D.R.10/2011 - Lembaga Pembangunan Industri Pembinaan Malaysia (Amendment) Bill 2011 (Passed),D.R.10/2011,DR102011E.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2011/DR102011E.pdf,,,,," | Y.B. Dato Yong Khoon Seng, Timbalan Menteri Kerja Raya",29/06/2011,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2011,0_10,D.R.11/2011 - Supplementary Supply (2011) Bill 2011 (Passed),D.R.11/2011,DR112011E.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2011/DR112011E.pdf,,,,," | Y.B. Senator Datuk Dr. Awang Adek Hussein, Timbalan Menteri Kewangan",20/06/2011,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2011,0_11,D.R.12/2011 - Medical Device Authority Bill 2011 (Passed),D.R.12/2011,DR122011E.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2011/DR122011E.pdf,,,,," | Y.B. Dato Sri Liow Tiong Lai, Menteri Kesihatan",03/10/2011,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2011,0_12,D.R.13/2011 - Limited Liability Partnerships Bill 2011 (Passed),D.R.13/2011,DR132011E.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2011/DR132011E.pdf,,,,," | Y.B. Dato Sri Ismail Sabri Yaakob, Menteri Perdagangan Dalam Negeri, Koperasi dan Kepenggunaan",03/10/2011,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2011,0_13,D.R.14/2011 - Petroleum (Income Tax) (Amendment) Bill 2011 (Passed),D.R.14/2011,DR142011E.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2011/DR142011E.pdf,,,,," | Y.B. Senator Datuk Dr. Awang Adek Hussein, Timbalan Menteri Kewangan",28/06/2011,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2011,0_14,D.R.15/2011 - Employment (Amendment) Bill 2011 (Passed),D.R.15/2011,DR152011E.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2011/DR152011E.pdf,,,,," | Y.B. Datuk Dr. S. Subramaniam, Menteri Sumber Manusia",06/10/2011,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2011,0_15,D.R.16/2011 - Trade Descriptions Bill 2011 (Passed),D.R.16/2011,DR162011E.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2011/DR162011E.pdf,,,,," | Y.B. Dato Sri Ismail Sabri Yaakob, Menteri Perdagangan Dalam Negeri, Koperasi dan Kepenggunaan",27/06/2011,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2011,0_16,D.R.17/2011 - National Wages Consultative Council Bill 2011 (Passed),D.R.17/2011,DR172011E.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2011/DR172011E.pdf,,,,," | Y.B. Datuk Dr. S. Subramaniam, Menteri Sumber Manusia",30/06/2011,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2011,0_17,D.R.18/2011 - Securities Commission (Amendment) Bill 2011 (Passed),D.R.18/2011,DR182011E.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2011/DR182011E.pdf,,,,," | Y.B. Senator Dato Donald Lim Siang Chai, Timbalan Menteri Kewangan",28/06/2011,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2011,0_18,D.R.19/2011 - Capital Markets and Services (Amendment) Bill 2011 (Passed),D.R.19/2011,DR192011E.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2011/DR192011E.pdf,,,,," | Y.B. Senator Dato Donald Lim Siang Chai, Timbalan Menteri Kewangan",28/06/2011,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2011,0_19,D.R.20/2011 - Money Services Business Bill 2011 (Passed),D.R.20/2011,DR202011E.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2011/DR202011E.pdf,,,,," | Y.B. Senator Datuk Dr. Awang Adek Hussein, Timbalan Menteri Kewangan",29/06/2011,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2011,0_20,D.R.21/2011 - Federal Agricultural Marketing Authority (Amendment) Bill 2011 (Passed),D.R.21/2011,DR212011E.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2011/DR212011E.pdf,,,,," | Y.B. Tuan Chua Tee Yong, Timbalan Menteri Pertanian dan Industri Asas Tani",04/10/2011,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
